Region,Country,Item Type,Sales Channel,Order_Shipped,Order Date,Order ID,Units Sold,Unit Price,Unit Cost,Total Revenue
Middle East and North Africa,Libya,Cosmetics,Offline,true,10/18/2014,686800706,8446,437.2,263.33,3692591.2
North America,Canada,Vegetables,Online,false,11/07/11,185941302,3018,154.06,90.93,464953.08
Middle East and North Africa,Libya,Baby Food,Offline,true,10/31/2016,246222341,1517,255.28,159.42,387259.76
Asia,Japan,Cereal,Offline,true,04/10/10,161442649,3322,205.7,117.11,683335.4
Sub-Saharan Africa,Chad,Fruits,Offline,true,8/16/2011,645713555,9845,9.33,6.92,91853.85
Europe,Armenia,Cereal,Online,true,11/24/2014,683458888,9528,205.7,117.11,1959909.6
Sub-Saharan Africa,Eritrea,Cereal,Online,true,03/04/15,679414975,2844,205.7,117.11,585010.8
Europe,Montenegro,Clothes,Offline,true,5/17/2012,208630645,7299,109.28,35.84,797634.72
Central America and the Caribbean,Jamaica,Vegetables,Online,true,1/29/2015,266467225,2428,154.06,90.93,374057.68
Australia and Oceania,Fiji,Vegetables,Offline,false,12/24/2013,118598544,4800,154.06,90.93,739488
Sub-Saharan Africa,Togo,Clothes,Online,false,12/29/2015,451010930,3012,109.28,35.84,329151.36
Europe,Montenegro,Snacks,Offline,false,2/27/2010,220003211,2694,152.58,97.44,411050.52
Europe,Greece,Household,Online,false,11/17/2016,702186715,1508,668.27,502.54,1007751.16
Sub-Saharan Africa,Sudan,Cosmetics,Online,false,12/20/2015,544485270,4146,437.2,263.33,1812631.2
Asia,Maldives,Fruits,Offline,false,01/08/11,714135205,7332,9.33,6.92,68407.56
Europe,Montenegro,Clothes,Offline,false,6/28/2010,448685348,4820,109.28,35.84,526729.6
Europe,Estonia,Office Supplies,Online,false,4/25/2016,405997025,2397,651.21,524.96,1560950.37
North America,Greenland,Beverages,Online,false,7/27/2012,414244067,2880,47.45,31.79,136656
Sub-Saharan Africa,Cape Verde,Clothes,Online,false,09/08/14,821912801,1117,109.28,35.84,122065.76
Sub-Saharan Africa,Senegal,Household,Offline,false,8/27/2012,247802054,8989,668.27,502.54,6007079.03
Australia and Oceania,Federated States of Micronesia,Snacks,Online,false,09/03/12,531023156,407,152.58,97.44,62100.06
Europe,Bulgaria,Clothes,Online,false,8/27/2010,880999934,6313,109.28,35.84,689884.64
Middle East and North Africa,Algeria,Personal Care,Online,false,2/20/2011,127468717,9681,81.73,56.67,791228.13
Asia,Mongolia,Clothes,Online,false,12/12/15,770478332,515,109.28,35.84,56279.2
Central America and the Caribbean,Grenada,Cereal,Online,false,10/28/2012,430390107,852,205.7,117.11,175256.4
Central America and the Caribbean,Grenada,Beverages,Online,false,1/30/2017,397877871,9759,47.45,31.79,463064.55
Sub-Saharan Africa,Senegal,Beverages,Offline,false,10/22/2014,683927953,8334,47.45,31.79,395448.3
North America,Greenland,Fruits,Offline,false,1/31/2012,469839179,4709,9.33,6.92,43934.97
Sub-Saharan Africa,Chad,Meat,Offline,false,1/20/2016,357222878,9043,421.89,364.69,3815151.27
Sub-Saharan Africa,Mauritius ,Personal Care,Online,false,01/01/16,118002879,8529,81.73,56.67,697075.17
Middle East and North Africa,Morocco,Beverages,Offline,false,06/01/17,944415509,2391,47.45,31.79,113452.95
Central America and the Caribbean,Honduras,Office Supplies,Online,false,6/30/2015,499009597,6884,651.21,524.96,4482929.64
Sub-Saharan Africa,Benin,Fruits,Online,false,1/28/2014,564646470,293,9.33,6.92,2733.69
Europe,Greece,Baby Food,Offline,false,04/08/14,294499957,7937,255.28,159.42,2026157.36
Central America and the Caribbean,Jamaica,Beverages,Offline,false,09/04/10,262056386,7163,47.45,31.79,339884.35
Sub-Saharan Africa,Equatorial Guinea,Office Supplies,Online,false,05/02/10,211114585,2352,651.21,524.96,1531645.92
Sub-Saharan Africa,Swaziland,Office Supplies,Offline,true,10/03/13,405785882,9915,651.21,524.96,6456747.15
Central America and the Caribbean,Trinidad and Tobago,Vegetables,Offline,true,03/06/11,280494105,3294,154.06,90.93,507473.64
Europe,Sweden,Baby Food,Online,true,08/07/16,689975583,7963,255.28,159.42,2032794.64
Europe,Belarus,Office Supplies,Online,true,01/11/11,759279143,6426,651.21,524.96,4184675.46
Sub-Saharan Africa,Guinea-Bissau,Office Supplies,Offline,true,5/21/2014,133766114,3221,651.21,524.96,2097547.41
Asia,Mongolia,Beverages,Online,true,08/03/13,329110324,9913,47.45,31.79,470371.85
Middle East and North Africa,Turkey,Meat,Online,true,10/05/11,681298100,103,421.89,364.69,43454.67
Sub-Saharan Africa,Central African Republic,Snacks,Offline,true,11/15/2016,596628272,4419,152.58,97.44,674251.02
Sub-Saharan Africa,Equatorial Guinea,Office Supplies,Offline,true,04/03/15,901712167,5523,651.21,524.96,3596632.83
Asia,Laos,Beverages,Online,true,3/22/2013,693473613,3107,47.45,31.79,147427.15
Europe,Armenia,Meat,Online,true,08/02/10,489148938,8896,421.89,364.69,3753133.44
Europe,Greece,Household,Online,true,01/05/12,876286971,1643,668.27,502.54,1097967.61
Middle East and North Africa,Israel,Personal Care,Offline,true,8/26/2015,262749040,2135,81.73,56.67,174493.55
Asia,Bhutan,Meat,Online,true,12/09/16,726708972,8189,421.89,364.69,3454857.21
Australia and Oceania,Vanuatu,Vegetables,Online,true,5/17/2012,366653096,9654,154.06,90.93,1487295.24
Sub-Saharan Africa,Burundi,Vegetables,Online,true,11/17/2010,951380240,3410,154.06,90.93,525344.6
Europe,Ukraine,Cosmetics,Online,true,11/13/2014,270001733,8368,437.2,263.33,3658489.6
Europe,Croatia,Beverages,Online,true,6/16/2016,681941401,470,47.45,31.79,22301.5
Sub-Saharan Africa,Madagascar,Fruits,Online,true,5/31/2016,566935575,7690,9.33,6.92,71747.7
Asia,Malaysia,Snacks,Offline,true,10/06/12,175033080,5033,152.58,97.44,767935.14
Asia,Uzbekistan,Office Supplies,Offline,true,03/10/12,276595246,9535,651.21,524.96,6209287.35
Europe,Italy,Office Supplies,Online,true,1/26/2011,812295901,5263,651.21,524.96,3427318.23
Asia,Nepal,Vegetables,Offline,true,06/02/14,443121373,8316,154.06,90.93,1281162.96
Australia and Oceania,Fiji,Personal Care,Offline,true,12/17/2016,600370490,1824,81.73,56.67,149075.52
Europe,Portugal,Office Supplies,Online,true,6/27/2014,535654580,949,651.21,524.96,617998.29
Central America and the Caribbean,Panama,Cosmetics,Offline,true,3/17/2015,470897471,7881,437.2,263.33,3445573.2
Europe,Belarus,Beverages,Offline,true,04/03/13,248335492,6846,47.45,31.79,324842.7
Sub-Saharan Africa,Botswana,Clothes,Offline,true,03/08/15,680517470,9097,109.28,35.84,994120.16
Sub-Saharan Africa,Tanzania,Personal Care,Online,true,6/21/2013,400304734,7921,81.73,56.67,647383.33
Europe,Romania,Office Supplies,Offline,true,01/06/13,810871112,3636,651.21,524.96,2367799.56
Sub-Saharan Africa,Mali,Cereal,Online,true,3/17/2012,235702931,8590,205.7,117.11,1766963
Sub-Saharan Africa,Central African Republic,Office Supplies,Offline,true,4/18/2014,668599021,2163,651.21,524.96,1408567.23
Sub-Saharan Africa,Niger,Baby Food,Online,true,01/03/16,123670709,5766,255.28,159.42,1471944.48
Europe,Austria,Office Supplies,Online,true,05/12/11,285341823,7841,651.21,524.96,5106137.61
Asia,India,Fruits,Online,true,7/29/2010,658348691,8862,9.33,6.92,82682.46
Europe,Luxembourg,Baby Food,Offline,true,08/02/13,817740142,6335,255.28,159.42,1617198.8
Sub-Saharan Africa,Cape Verde,Beverages,Offline,false,10/23/2013,858877503,9794,47.45,31.79,464725.3
Europe,Sweden,Vegetables,Offline,true,02/05/17,947434604,5808,154.06,90.93,894780.48
